"";"ano";"Codigo";"Sigla";"Estado";"região";"homicidios";"população";"homicidios_100khabitantes"
"1";"1980";"11";"RO";"Rondônia";"norte";119;491025;24,24
"2";"1980";"12";"AC";"Acre";"norte";25;301276;8,3
"3";"1980";"13";"AM";"Amazonas";"norte";138;1430528;9,65
"4";"1980";"14";"RR";"Roraima";"norte";11;79121;13,9
"5";"1980";"15";"PA";"Pará";"norte";303;3403498;8,9
"6";"1980";"16";"AP";"Amapá";"norte";7;175258;3,99
"7";"1980";"17";"TO";"Tocantins";"norte";NA;0;NA
"8";"1980";"21";"MA";"Maranhão";"nordeste";109;3996444;2,73
"9";"1980";"22";"PI";"Piauí";"nordeste";52;2139196;2,43
"10";"1980";"23";"CE";"Ceará";"nordeste";441;5288429;8,34
"11";"1980";"24";"RN";"Rio Grande do Norte";"nordeste";169;1898835;8,9
"12";"1980";"25";"PB";"Paraíba";"nordeste";299;2770346;10,79
"13";"1980";"26";"PE";"Pernambuco";"nordeste";1120;6143503;18,23
"14";"1980";"27";"AL";"Alagoas";"nordeste";283;1982915;14,27
"15";"1980";"28";"SE";"Sergipe";"nordeste";82;1140379;7,19
"16";"1980";"29";"BA";"Bahia";"nordeste";306;9455392;3,24
"17";"1980";"31";"MG";"Minas Gerais";"sudeste";1159;13380105;8,66
"18";"1980";"32";"ES";"Espírito Santo";"sudeste";305;2023338;15,07
"19";"1980";"33";"RJ";"Rio de Janeiro";"sudeste";2946;11291631;26,09
"20";"1980";"35";"SP";"São Paulo";"sudeste";3452;25042074;13,78
"21";"1980";"41";"PR";"Paraná";"sul";818;7629849;10,72
"22";"1980";"42";"SC";"Santa Catarina";"sul";243;3628292;6,7
"23";"1980";"43";"RS";"Rio Grande do Sul";"sul";632;7773849;8,13
"24";"1980";"50";"MS";"Mato Grosso do Sul";"centro-oeste";226;1369769;16,5
"25";"1980";"51";"MT";"Mato Grosso";"centro-oeste";35;1138918;3,07
"26";"1980";"52";"GO";"Goiás";"centro-oeste";453;3860174;11,74
"27";"1980";"53";"DF";"Distrito Federal";"centro-oeste";144;1176908;12,24
"28";"1981";"11";"RO";"Rondônia";"norte";129;540684;23,86
"29";"1981";"12";"AC";"Acre";"norte";27;310305;8,7
"30";"1981";"13";"AM";"Amazonas";"norte";136;1482142;9,18
"31";"1981";"14";"RR";"Roraima";"norte";16;89863;17,8
"32";"1981";"15";"PA";"Pará";"norte";339;3522990;9,62
"33";"1981";"16";"AP";"Amapá";"norte";16;184083;8,69
"34";"1981";"17";"TO";"Tocantins";"norte";NA;752879;NA
"35";"1981";"21";"MA";"Maranhão";"nordeste";139;4068616;3,42
"36";"1981";"22";"PI";"Piauí";"nordeste";79;2173286;3,64
"37";"1981";"23";"CE";"Ceará";"nordeste";496;5371642;9,23
"38";"1981";"24";"RN";"Rio Grande do Norte";"nordeste";171;1938181;8,82
"39";"1981";"25";"PB";"Paraíba";"nordeste";343;2803499;12,23
"40";"1981";"26";"PE";"Pernambuco";"nordeste";1407;6219407;22,62
"41";"1981";"27";"AL";"Alagoas";"nordeste";389;2023691;19,22
"42";"1981";"28";"SE";"Sergipe";"nordeste";99;1167321;8,48
